Project,BHK,Location,total_floors,Carpet Area,Super Area,Price,Price Per Sqft
Shree Sonigara Signature Park E F I And J Buildings,2,Shree Sonigara Signature Park E F I And J Buildings,12,741,1050,8100000,7714
Arbor Vista,2,Arbor Vista,22,755,1020,8200000,8039
Livience Aleenta,3,Livience Aleenta,34,1500,1941,24000000,12365
K Shire,2,Punawale,18,790,1066,6100000,5722
Austin Park,2,Austin Park,13,825,1150,7000000,6087
Pride Purple Park Titan,2,Pride Purple Park Titan,22,774,1050,7400000,7048
Sensorium,2,Sensorium,31,783,783,8900000,11367
Majestique Marbella,2,Ashoka Nagar,17,824,1180,9700000,8220
Godrej Forest Grove,2,Mamurdi,22,630,931,6400000,6874
VTP Dolce Vita,3,VTP Dolce Vita,32,855,1112,12500000,11241
Pegasus,2,Pegasus,15,750,1050,7600000,7238
Majestique Towers,2,Majestique Towers,22,824,1190,10400000,8739
Rahul Downtown,2,Punawale,21,820,1107,6420000,5799
Raheja Sterling,3,Raheja Sterling,27,1050,1360,11000000,8088
Sagitarius Bluegrass Residences,3,Yerawada,25,1689,2343,34500000,14725
Belmac Residences,3,Belmac Residences,14,1340,1870,22500000,12032
Parmar Avienus,3,Sopan Baug Society,11,1700,2000,19000000,9500
Lush Residences,3,Lush Residences,25,1028,1382,11800000,8537
Nirman Astropolis,2,Nirman Astropolis,22,889,1150,8000000,6957
Kumar Parth Tower,2,Kumar Parth Tower,25,775,1100,8500000,7727
Gagan Adira,3,Gagan Adira,12,1086,1555,9000000,5788
Meriton Tower,2,Meriton Tower,14,735,992,6500000,6552
Nyati Era,2,Nyati Era,10,814,814,7100000,8722
The Balmoral Riverside,3,The Balmoral Riverside,40,1405,2100,24500000,11667
Suyog Space,2,Suyog Space,14,772,1050,8400000,8000
Kolte-Patil Clover Heights,2,Kolte-Patil Clover Heights,12,1050,1350,11700000,8667
Kumar Pebble Park,2,Kumar Pebble Park,14,762,1029,5700000,5539
Megapolis Sangria Towers,3,Megapolis Sangria Towers,21,1215,1640,10100000,6159
Mahindra Nestalgia,4,Nehru Nagar,23,1462,1640,18400000,11220
Mahindra Happinest Tathawade Phase 1,1,Mahindra Happinest Tathawade Phase 1,31,470,752,3779999,5027
ARV Uthville,2,EON Free Zone,17,730,1050,7700000,7333
Legacy Imperial Phase I,2,Kiwale,12,795,1173,5200000,4433
Nyati Esteban I,4,Kad Nagar,11,2100,2600,16500000,6346
Pebbles Greenfield,3,Pebbles Greenfield,28,1040,1404,10700000,7621
Kalpataru Jade Residences,3,Kalpataru Jade Residences,21,1198,1617,23700000,14660
Elina Liva,2,Elina Liva,26,900,1100,6820000,6200
